id,first_name,last_name,swimming_school_id,phone_num,empoyment_date,salary
140,Lucas,Kołodziej,47,+12393911981,2013-01-11,6000
141,Antoni,Mazur,2,+48095995629,2024-03-18,9700
142,Aleksandra,Zielińska,43,+65098192403,2023-05-06,9200
143,Daniel,Clark,8,+48076701569,2015-08-15,5700
144,Mia,Wojciechowska,7,+11516056494,2014-01-22,5800
145,Oliver,Czarnecki,40,+13680076673,2024-09-12,9700
146,Zofia,Olszewska,38,+12719911460,2019-07-23,5600
147,Elżbieta,Bakea,34,+65025528507,2023-11-12,8100
148,Lena,Kołodziea,42,+212087500370,2024-12-06,6700
149,Elena,Johnsoa,39,+48106424320,2023-08-13,7800
150,Maximilian,Hill,8,+13923302116,2021-07-10,6300
151,Aleksandra,Olszewska,20,+13739157357,2003-04-18,9700
152,Sophia,Scota,21,+48740059398,2025-04-14,9100
153,Ewa,Mitchela,30,+10430949380,2023-03-27,7600
154,Katarzyna,Wilsoa,42,+10994489646,2025-08-13,7900
155,Natalia,Kamińska,21,+13382397537,2025-08-18,6400
156,Lucas,Szymański,10,+42800721947,2024-03-14,6700
157,Ava,Nelsoa,26,+10981891092,2023-01-13,6000
158,Kamil,Mróz,18,+12478403914,2017-08-22,8900
159,Michał,Adams,50,+48241239804,1998-04-28,10000
160,Ingrid,Wilk,21,+42905497355,2021-12-19,7500
161,Jan,Wojciechowski,39,+48307899520,2023-01-04,8900
162,Natalia,Szymańska,19,+13298364097,2018-02-16,8600
163,Joanna,Smita,36,+42421146533,2011-04-16,5700
164,Wojciech,Tomaszewski,1,+212006861538,2023-03-29,6300
165,Petra,Davia,25,+48427310190,2011-08-07,7600
166,Luna,Kozłowska,8,+12871668614,2019-09-22,8400
167,Julia,Wrigha,23,+48030338444,2020-11-18,5300
168,Liam,Zalewski,3,+212354900470,2012-11-08,7400
169,Ingrid,Wróbel,29,+42444760275,2015-02-11,6800
170,Marcin,Martin,37,+12964113469,2006-09-10,9500
171,Nina,Youna,20,+212308305280,2013-07-17,8000
172,Charlotte,Woźniak,32,+42359716071,2021-10-18,6800
173,Olivia,Parkea,38,+12098355583,2022-11-16,7600
174,Elżbieta,Czarnecka,14,+212735078911,2010-08-02,5500
175,Daniel,Jones,37,+48017071932,2022-10-11,6500
176,Joanna,Allea,14,+10226405083,2008-04-20,7800
177,Vanessa,Grabowska,43,+48243364682,2020-04-15,5900
178,Szymon,Piasecki,9,+10765080378,2021-03-05,5500
179,Mateusz,Turner,11,+10398790668,2005-01-08,8900
180,Clara,Bakea,19,+42422111447,2009-06-13,5200
181,Irina,Dudea,17,+11571780921,2020-08-27,6600
182,Laura,Williama,38,+65245643540,2020-01-21,5800
183,Robert,Brown,15,+42228590959,2007-07-31,10000
184,Magdalena,Allea,37,+11094409955,2015-11-10,6500
185,Maja,Lia,25,+65582647208,2004-04-14,5500
186,Jakub,Ramirez,20,+48252614835,2011-02-23,9800
187,Ewa,Kaczmarea,19,+42230440889,2010-05-30,6600
188,Liam,Williams,49,+10345062868,2021-02-01,5200
189,Lena,Szymańska,47,+12618252263,2005-06-11,8700
190,Liam,Martin,43,+13505624757,2002-05-25,6900
191,Beata,Wójcia,5,+13312161960,2022-08-18,8000
192,Ava,Lea,31,+65987442123,2025-05-11,6300
193,Barbara,Michalska,13,+10175939738,2020-11-29,8200
194,Luna,Nowaa,5,+12303390585,2018-08-15,6100
195,Maja,Nowaa,12,+48155839704,2020-05-29,6400
196,Olivia,Kamińska,2,+48344622096,2025-09-05,8400
197,Petra,Smita,1,+12439887351,2022-05-08,6800
198,Sophia,Króa,49,+212572653201,2022-06-21,9700
199,Anastasia,Garcia,29,+13211033663,2018-06-27,5900
200,Antoni,Lee,35,+12709662643,1996-02-28,7900
201,Stanisław,Kozłowski,25,+65620564816,2001-11-15,7600
202,Helena,Piasecka,33,+65591553996,2019-11-15,9400
203,Maja,Pawłowska,17,+48472054433,1994-02-18,9400
204,Kamil,Zalewski,34,+212717585680,2025-09-14,5400
205,Bartosz,Campbell,5,+212490111770,2015-01-11,5400
206,Szymon,Górski,10,+11310934295,2016-05-06,8400
207,Denis,Torres,42,+10404778548,2025-03-17,8700
208,Aleksandra,Roberta,11,+12941121397,2021-12-30,6400
209,Irina,Youna,48,+48696778562,2019-09-11,9900
210,Franciszek,Martin,10,+12517152731,2013-10-18,8100
211,Lucas,Kubiak,14,+10116253352,2006-09-07,5400
212,Clara,Jaworska,45,+12257348524,2010-01-12,5300
213,Ingrid,Adamczyk,11,+13220183755,2003-10-21,8300
214,Igor,Ramirez,42,+212938657525,2025-07-09,5800
215,Karolina,Mróa,32,+212867648168,2011-01-23,6000
216,Karol,Mróz,46,+42370573702,2021-08-04,8800
217,Patryk,Johnson,18,+10515145965,2019-09-06,9500
218,Marcin,Stępień,11,+12742898533,2004-11-28,7200
219,Filip,Lopez,7,+13748424124,2023-12-25,5600
220,Isabella,Williama,19,+12574770837,2018-11-09,6800
221,Henryk,Kołodziej,36,+12559166996,1995-09-04,8300
222,Charlotte,Wiśniewski,31,+65769232215,2023-02-01,7000
223,Beata,Wojciechowska,46,+12775135303,2024-09-29,8800
224,Robert,Dudek,42,+11252158781,2024-05-29,6200
225,Victoria,Zająa,31,+65671468774,2023-04-07,7600
226,Maximilian,Jones,12,+48457142080,2023-01-04,8100
227,Liam,Nowak,41,+10789771638,2025-08-16,9000
228,Monika,Kaczmarea,1,+12923082842,2025-11-24,8000
229,Zbigniew,Nelson,42,+12227057148,2025-02-17,5700
230,Julian,Martin,23,+65426519110,2023-09-23,6600
231,Marcin,Woźniak,48,+42422898488,2025-08-24,5900
232,Lucia,Majewska,39,+12771418800,2009-01-02,8600
233,Artur,Walker,26,+13711202181,2014-03-08,8400
234,Charlotte,Nguyen,44,+12490120155,2019-03-18,8500
235,Patryk,Dąbrowski,23,+42939652010,2021-06-11,9800
236,Ethan,Baker,34,+212620106465,2023-09-13,6500
237,Zbigniew,Mróz,20,+65928486000,2005-11-29,8600
238,Marta,Kubiaa,34,+12067493988,2021-04-09,6400
239,Hanna,Ramirea,14,+11634114786,2013-05-01,7000
240,Szymon,Baran,43,+10478072007,2002-10-01,6800
241,Szymon,Baran,44,+212079720589,2025-09-14,7700
242,Mia,Clara,27,+48960819243,2020-09-13,7300
243,Igor,Thomas,46,+42887303054,2019-07-04,8400
244,Paulina,Cartea,49,+11454219279,2023-08-05,8500
245,Mateusz,Nowak,37,+11316974441,2012-05-17,9500
246,Sophia,Perea,32,+12538796885,2019-11-19,5500
247,Agnieszka,Borkowska,36,+212054581166,2003-09-05,5800
248,Sebastian,Kwiatkowski,12,+42931918373,1999-10-04,9200
249,Clara,Johnsoa,50,+11792638048,2004-06-30,9400
250,Sebastian,Green,25,+212416284090,2000-07-01,9600
251,Igor,Anderson,28,+48532858997,2013-09-04,8200
252,Maja,Thomaa,34,+11206968609,2022-08-07,7400
253,Jan,Adamczyk,27,+212765062583,2018-12-12,8200
254,Zofia,Wiśniewska,7,+12242725463,2025-10-17,7400
255,Ingrid,Dudek,30,+212397033018,2023-06-14,7200
256,Tomasz,Kołodziej,33,+10359909013,2022-11-29,5700
257,Stefan,Pawłowski,37,+10096480505,2007-01-19,5400
258,Paweł,Turner,33,+11785117623,2024-06-21,7900
259,Victor,Wilk,12,+65021783466,2016-02-07,8100
260,Sebastian,Król,36,+42048384502,2014-06-26,7900
261,Paulina,Jonea,18,+212059391919,2014-05-03,5400
262,Petra,Baraa,32,+48723071277,2011-07-22,5000
263,Piotr,Baran,27,+48681806915,2017-02-19,5600
264,Maximilian,Wróbel,46,+11267517899,2018-11-14,7300
265,Oskar,Lopez,34,+13763322358,2021-05-31,8100
266,Jan,Kaczmarek,7,+10075688906,2001-07-23,6700
267,Victor,Olszewski,25,+42381434943,2013-04-19,8200
268,Stefan,Jankowski,34,+11393736033,2023-01-21,7500
269,Nina,Williama,40,+212372108672,2025-01-10,7800
270,Lucia,Wilsoa,18,+48858889156,2024-11-03,8500
271,Kamil,Adamczyk,43,+42906651178,2021-05-29,9400
272,Marcin,Piotrowski,49,+10852450638,2021-11-29,8100
273,Barbara,Michalska,41,+11569617523,2014-01-10,8400
274,Adrian,Roberts,25,+42243535565,2017-11-26,9000
275,Alexander,Perez,50,+48410689852,2005-01-03,7100
276,Stefan,Clark,4,+10414665677,2000-08-29,6100
277,Ethan,Parker,31,+10847020125,2025-01-03,9500
278,Jan,Lewis,27,+65502482714,2017-09-25,7100
279,Marcin,Czarnecki,41,+48760103260,2005-01-08,8800
280,Stefan,Borkowski,49,+10624381787,2023-06-21,5700
281,Emil,Nowak,28,+13745660615,2009-01-31,9000
282,Victoria,Browa,25,+42175121270,2001-04-29,8300
283,Elżbieta,Górska,37,+48050006687,2024-09-06,9500
284,Ava,Króa,49,+48302063341,2024-12-13,8100
285,Ewa,Walkea,4,+48300615609,2002-04-15,8800
286,Liam,Kowalczyk,26,+12720347925,2021-06-15,7800
287,Alan,Dąbrowski,29,+11423552494,2018-03-18,8400
288,Magdalena,Hernandea,35,+48444164991,1996-05-20,5700
289,Karol,Adamczyk,2,+212366161215,2023-08-03,8600
290,Irina,Mróa,40,+48668834932,2022-09-10,6900
291,Grzegorz,Gonzalez,49,+13773011665,2021-07-10,8100
292,Charlotte,Piasecki,16,+13420071385,2006-12-12,7200
293,Małgorzata,Baraa,23,+10487132318,2024-11-13,5700
294,Małgorzata,Króa,27,+10278867073,2021-02-15,6100
295,Maja,Thomaa,6,+65683041232,2009-05-24,8700
296,Małgorzata,Lia,9,+11223482572,2016-11-22,5200
297,Leon,Jankowski,26,+65095296152,2015-01-22,6000
298,Beata,Błaszczya,9,+12807208609,2011-05-25,8600
299,Tomasz,Thomas,31,+65471228146,2024-06-03,7800
300,Agnieszka,Wrigha,41,+212812901204,2015-12-05,5100
301,Dorota,Nelsoa,20,+65844319515,2020-03-07,7300
302,Piotr,Lewis,38,+13755148173,2024-11-05,7900
303,Łukasz,Kowalczyk,9,+65757380016,2015-02-24,8500
304,Robert,Górski,24,+48157373556,2008-12-01,7000
305,Zofia,Walkea,45,+65431912789,2008-02-14,9500
306,Franciszek,Majewski,19,+65848444325,2018-01-18,8900
307,Stefan,Walker,23,+11221554837,2022-04-05,5200
308,Lucia,Mitchela,14,+65648087142,2016-07-13,6200
309,Vanessa,Walkea,23,+13982264817,2021-01-21,8200
310,Magdalena,Kaczmarea,43,+48906737026,2022-02-23,8000
311,Marcin,Baker,27,+10989176449,2017-09-21,8100
312,Antoni,Pawłowski,43,+212704543205,2018-03-31,8000
313,Krzysztof,Wright,24,+48514317180,2003-01-28,7300
314,Denis,Pawłowski,25,+13725101997,2017-02-23,9300
315,Karol,Baran,39,+13133091462,2011-12-03,9800
316,Clara,Millea,10,+212611186147,2017-01-25,7800
317,Marcin,Wróbel,12,+48006011068,2001-02-08,5400
318,Igor,White,5,+10816839787,2023-07-29,7200
319,Hanna,Rodriguea,29,+48143809166,2010-07-07,6400
320,Olivia,Perea,40,+13402174928,2022-02-25,6900
321,Victoria,Zielińska,17,+65901701105,2018-02-07,9800
322,Ella,Parkea,8,+13113052046,2015-07-30,9300
323,Stefan,Wojciechowski,23,+13622283746,2022-01-15,8300
324,Piotr,Mazur,40,+42157035680,2022-09-11,8400
325,Mia,Gonzalea,12,+13053863580,2004-01-21,5300
326,Damian,Walczak,49,+212095644777,2025-03-27,8600
327,Victoria,Millea,35,+10689051711,2022-04-19,7200
328,Sophia,Króa,2,+65472947935,2024-02-03,6400
329,Sophia,Gonzalea,49,+11217504877,2025-06-03,5900
330,Bartosz,Piotrowski,4,+212681890467,1996-06-29,5900
331,Alan,Miller,34,+10157683234,2022-05-09,8600
332,Mateusz,Pawłowski,27,+42651654362,2021-12-02,9000
333,Jakub,Smith,21,+42360545682,2025-05-24,6800
334,Paulina,Jankowska,10,+10491224520,2018-12-09,5900
335,Aleksandra,Moora,5,+13393109488,2020-10-08,6600
336,Maximilian,Taylor,6,+12973116013,2016-06-10,7100
337,Marta,Michalska,48,+10325746744,2020-02-22,7300
338,Hanna,Tayloa,16,+212076411529,2017-12-21,5000
339,Anna,Dąbrowska,43,+42727248663,2024-04-11,8000
340,Grzegorz,Baran,42,+10541599906,2024-01-31,8400
341,Ingrid,Jackson,4,+10568502039,1997-12-05,5300
342,Katarzyna,Moora,47,+12016413556,1997-08-15,8100
343,Maximilian,Nowak,35,+212970296584,2024-05-27,7000
344,Grzegorz,Wójcik,41,+65881181988,2006-05-13,5000
345,Vanessa,Browa,26,+212473741402,2003-09-04,7200
346,Daniel,Torres,49,+13888967844,2025-01-08,9000
347,Małgorzata,Baraa,43,+13842673737,2015-05-06,7100
348,Damian,Ramirez,9,+48979035264,2005-02-11,10000
349,Agnieszka,Gonzalea,14,+11830842257,2020-09-24,6700
350,Julian,Wojciechowski,9,+11437667045,2022-02-16,5800
351,Krzysztof,Wojciechowski,36,+10155076653,2007-03-01,7800
352,Filip,Woźniak,16,+42620728106,2025-12-21,5100
353,Ava,Piasecka,42,+65522328305,2024-07-21,8200
354,Victoria,Parkea,40,+65545985694,2020-09-26,8800
355,Anna,Olszewska,16,+212024398667,2008-02-07,8400
356,Agnieszka,Adama,23,+65733075253,2025-09-15,9100
357,Elżbieta,Torrea,16,+65521831399,2018-10-27,6900
358,Damian,Nowak,27,+42923131856,2007-08-23,5300
359,Victor,Turner,38,+212470945843,2025-04-12,9800
360,Karolina,Sikora,16,+42910169399,2015-01-17,5900
361,Dorota,Tayloa,35,+10923163358,2021-09-19,9400
362,Kamil,Garcia,12,+212998575712,2000-01-14,6300
363,Amelia,Sokołowska,16,+10554299399,2025-03-18,6800
364,Magdalena,Michalska,25,+65718692147,2020-01-06,9900
365,Olivia,Phillipa,3,+65290778385,2011-11-03,10000
366,Szymon,Dudek,5,+13225963554,2017-03-20,6900
367,Stanisław,Robinson,41,+212277998214,2010-10-01,8900
368,Oliver,Adams,40,+11422061089,2019-10-18,9500
369,Victor,Brown,23,+13319863931,2020-02-16,5200
370,Jan,Harris,12,+65696176374,2000-04-25,7200
371,Vanessa,Garcia,31,+48263206066,2023-07-01,10000
372,Alina,Wrigha,28,+12301485189,2019-11-16,6800
373,Adam,Zając,31,+48659756424,2023-12-09,9400
374,Rafał,Mazur,44,+13448328864,2021-07-08,5900
375,Anastasia,Andersoa,27,+48775444363,2020-01-18,5000
376,Mateusz,Martin,22,+13140202326,1999-03-06,7400
377,Maximilian,Michalski,2,+42650890634,2023-12-30,8100
378,Katarzyna,Martia,45,+10540747939,2006-03-22,7800
379,Sara,Thompsoa,37,+10590502346,2021-01-08,5700
380,Katarzyna,Jaworska,43,+42791596296,2014-05-13,6000
381,Lena,Mróa,33,+42411170112,2025-12-22,8200
382,Leon,Błaszczyk,5,+212203414850,2023-08-31,9400
383,Theo,Rodriguez,21,+42801565433,2023-08-21,7000
384,Antoni,Walker,7,+48008456362,2015-04-02,6700
385,Dorota,Adamczya,25,+12938155113,2001-02-24,7500
386,Mateusz,Marciniak,8,+10427916426,2015-12-15,5500
387,Luna,Tomaszewska,26,+12028467364,2019-09-24,9100
388,Charlotte,Gonzalez,1,+12136296606,2025-03-25,7600
389,Karol,Moore,23,+11914536395,2019-09-24,6300
390,Victor,Piasecki,12,+65583859222,2023-05-09,8300
391,Grzegorz,Gonzalez,4,+10676185003,2002-03-18,5700
392,Petra,Torrea,27,+10076301885,2010-05-04,7600
393,Aleksandra,Lia,20,+212114337351,2013-07-07,5300
394,Stefan,Adams,15,+65792560783,2025-02-24,6200
395,Julia,Williama,43,+42323293646,2009-06-17,8600
396,Wojciech,Martinez,3,+212466315565,2017-04-17,7500
397,Irina,Kubiaa,12,+48959186626,2019-08-26,8500
398,Jakub,Wróbel,6,+11725082380,2023-02-10,9800
399,Adam,Czarnecki,9,+12431787397,2018-07-10,8400
400,Anna,Thomaa,47,+11708641414,2013-10-26,6400
401,Victor,Sokołowski,31,+42548566664,2025-03-13,9400
402,Filip,Sanchez,20,+11791071864,2016-08-05,8300
403,Andrzej,Wiśniewski,50,+11061195452,1997-06-15,7900
404,Stanisław,Jankowski,28,+65203884553,2025-02-21,5700
405,Piotr,Czarnecki,18,+11854264750,2021-11-26,9700
406,Irina,Martinea,2,+212635023335,2023-10-27,7500
407,Maximilian,Nelson,38,+11301342985,2024-02-13,8600
408,Marcin,Torres,36,+212270080574,2016-09-29,9300
409,Denis,Mróz,3,+12173733472,2017-06-20,9100
410,Luna,Sokołowska,11,+12924979276,2007-01-28,5000
411,Katarzyna,Borkowska,34,+212720241410,2021-01-14,8800
412,Isabella,Michalska,38,+10836138340,2025-10-22,6200
413,Luna,Stępiea,9,+13452318602,2008-01-26,7500
414,Mia,Kowalska,20,+212202373739,2021-11-18,9200
415,Zofia,Thompsoa,44,+42426881040,2023-02-11,5700
416,Patryk,Kamiński,34,+10238314845,2023-11-11,7700
417,Robert,Kowalczyk,18,+12863468687,2014-03-02,7600
418,Ingrid,Jaworski,32,+13820450784,2012-04-30,6300
419,Oliver,Kołodziej,40,+11614085605,2020-01-17,6500
420,Clara,Nowaa,6,+65334734568,2018-05-27,5100
421,Dorota,Kina,44,+48261268680,2017-10-10,8500
422,Stefan,Marciniak,29,+11123383331,2015-02-20,6500
423,Kamil,Roberts,2,+42154783683,2023-08-27,6300
424,Oliver,Martinez,40,+10381216584,2023-01-13,7800
425,Zbigniew,Szymański,5,+65939919540,2016-04-13,9600
426,Maximilian,Thompson,22,+42594234038,2002-07-04,8100
427,Sylwia,Mróa,10,+48972061407,2020-01-01,7400
428,Noah,Urban,35,+12865216603,2017-01-21,7400
429,Sebastian,Kamiński,19,+48514818047,2011-08-20,8100
430,Emilia,Dudea,28,+65573000818,2014-02-22,6700
431,Luna,Walkea,30,+48576501252,2019-11-26,7600
432,Ethan,Mazur,40,+13796216354,2018-11-13,5700
433,Emilia,Dudea,18,+65076280632,2014-06-08,5300
434,Laura,Stępiea,46,+212809753464,2014-06-14,9300
435,Ingrid,Borkowski,22,+13330780304,2000-11-24,7000
436,Robert,Davis,50,+12832390072,2006-09-18,5800
437,Isabella,Smita,13,+10827626587,2007-07-08,5200
438,Emil,Nelson,41,+42068904252,2007-10-15,8100
439,Szymon,Zając,40,+65289236456,2021-04-26,5500
440,Adam,Turner,27,+12753963193,2008-08-16,9100
441,Ella,Thomaa,39,+12209966414,1999-08-20,8100
442,Beata,Kowalczya,18,+65506488244,2025-08-01,6800
443,Agnieszka,Jaworska,42,+10296288690,2024-06-08,8000
444,Aleksandra,Bakea,20,+13894739877,2025-12-21,7000
445,Lena,Wilsoa,6,+13403248360,2023-06-14,8100
446,Aleksandra,Scota,18,+48279979055,2019-10-18,10000
447,Victor,Green,29,+212282402126,2002-06-09,8700
448,Bartosz,Adams,39,+65860362955,2007-05-05,7600
449,Anna,Martinea,31,+48076814426,2024-06-23,8500
450,Adam,Wojciechowski,4,+65979647425,2013-10-03,6500
451,Grzegorz,Campbell,18,+42887878787,2020-08-27,5100
452,Artur,Gonzalez,13,+48566280069,2009-03-25,9400
453,Leon,Kowalczyk,42,+42116527435,2023-07-04,7000
454,Lena,Błaszczya,46,+42182843608,2020-01-26,8400
455,Barbara,Williama,46,+65298489128,2021-12-22,8200
456,Barbara,Lewandowska,39,+65753550060,2021-03-11,5800
457,Katarzyna,Piotrowska,21,+11027066555,2024-07-17,10000
458,Anna,Majewska,6,+10180175877,2010-09-07,8400
